	CHEM_ID	LIB_ID	COMP_ID	CHRO_LIB_ENTRY_ID	SUPER_PATHWAY	SUB_PATHWAY	PATHWAY_SORTORDER	TYPE	INCHIKEY	SMILES	CHEMICAL_NAME	PLOT_NAME	LIPID SPECIES LEVEL	LIPID MOLECULAR SPECIES LEVEL	LIPID SN POSITION LEVEL	CAS	CHEMSPIDER	HMDB	KEGG	PUBCHEM	PLATFORM	kg_ids_groundtruth
10	171	305	3127	145750	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	4334.0	NAMED	FDGQSTZJBFJUBT-UHFFFAOYSA-N	O=C1C(N=CN2)=C2N=CN1	hypoxanthine	hypoxanthine				68-94-0	768	HMDB0000157	C00262	790,135398638	Polar	['CHEBI:17368']
11	180	209	1105	125969	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1613.0	NAMED	OYHQOLUKZRVURQ-HZJYTTRNSA-N	OC(CCCCCCC/C=C\C/C=C\CCCCC)=O	linoleate (18:2n6)	linoleate (18:2n6)				60-33-3	4444105	HMDB0006270,HMDB0000673	C01595	5280450	Neg	['CHEBI:17351', 'CHEBI:75108']
12	181	209	1645	125740	Lipid	Medium Chain Fatty Acid	1548.0	NAMED	POULHZVOKOAJMA-UHFFFAOYSA-N	O=C(O)CCCCCCCCCCC	laurate (12:0)	laurate (12:0)				143-07-7	3756	HMDB0000638	C02679	3893	Neg	['CHEBI:30805']
13	182	305	1899	146452	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	4515.0	NAMED	GJAWHXHKYYXBSV-UHFFFAOYSA-N	OC(C(C=CC=N1)=C1C(O)=O)=O	quinolinate	quinolinate				89-00-9	1037	HMDB0000232	C03722	1066	Polar	['CHEBI:16675']
14	186	209	64334	237350	Amino Acid	Tryptophan Metabolism	274.0	NAMED	BYHJHXPTQMMKCA-UHFFFAOYSA-N	NC(C(O)=O)CC(C1=CC=CC=C1NC=O)=O	N-formylkynurenine	N-formylkynurenine				1022-31-7	886	HMDB0001200	C15605,C02406,C02700	910	Neg	['CHEBI:18377', 'CHEBI:30249', 'CHEBI:55476']
15	189	400	1498	155380	Amino Acid	Lysine Metabolism	119.0	NAMED	MXNRLFUSFKVQSK-UHFFFAOYSA-N	C[N+](C)(CCCCC(C([O-])=O)N)C	N6,N6,N6-trimethyllysine	N6,N6,N6-trimethyllysine				23284-33-5	140379	HMDB0001325	C03793	440120	Pos Early	['CHEBI:181720', 'CHEBI:165870']
16	192	400	37496	156406	Amino Acid	Polyamine Metabolism	549.0	NAMED	KLZGKIDSEJWEDW-UHFFFAOYSA-N	CC(NCCCCN)=O	N-acetylputrescine	N-acetylputrescine				18233-70-0	109095	HMDB0002064	C02714	122356	Pos Early	['CHEBI:17768']
17	194	209	2829	124831	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	446.0	NAMED	PYUSHNKNPOHWEZ-UHFFFAOYSA-N	CSCCC(C(O)=O)NC=O	N-formylmethionine	N-formylmethionine				4289-98-9	388809	HMDB0001015	C03145	439750	Neg	['CHEBI:182822', 'CHEBI:16552']
18	197	209	42382	124939	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	455.0	NAMED	ZJUKTBDSGOFHSH-UHFFFAOYSA-N	OC1C(N2C=NC3=C2N=CN=C3N)OC(CSCCC(N)C(O)=O)C1O	S-adenosylhomocysteine (SAH)	S-adenosylhomocysteine (SAH)				979-92-0	16788012	HMDB0000939	C00021	439155	Neg	['UNII:8K31Q2S66S', 'CHEBI:181457']
19	207	209	2831	123233	Nucleotide	Purine Metabolism, Adenine containing	4356.0	NAMED	IVOMOUWHDPKRLL-UHFFFAOYSA-N	NC1=NC=NC2=C1N=CN2C3OC(CO4)C(OP4(O)=O)C3O	adenosine 3',5'-cyclic monophosphate (cAMP)	adenosine 3',5'-cyclic monophosphate (cAMP)				60-92-4	268	HMDB0000058	C00575	6076	Neg	['PUBCHEM.COMPOUND:274', 'CHEBI:17489']
20	209	400	32342	155907	Nucleotide	Purine Metabolism, Adenine containing	4353.0	NAMED	UDMBCSSLTHHNCD-UHFFFAOYSA-N	NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(O)=O	adenosine 5'-monophosphate (AMP)	AMP				149022-20-8	10239183	HMDB0000045	C00020	6083	Pos Early	['CHEBI:16027', 'CHEBI:181501']
21	212	400	1419	155365	Amino Acid	Polyamine Metabolism	567.0	NAMED	WUUGFSXJNOTRMR-IOSLPCCCSA-N	NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3	5-methylthioadenosine (MTA)	5-methylthioadenosine (MTA)				2457-80-9	388321	HMDB0001173	C00170	439176	Pos Early	['CHEBI:17509']
22	213	400	37114	156329	Nucleotide	Purine Metabolism, Adenine containing	4368.0	NAMED	VQAYFKKCNSOZKM-UHFFFAOYSA-N	OC(C1O)C(OC1CO)N(C=N2)C3=C2C(NC)=NC=N3	N6-methyladenosine	N6-methyladenosine				1867-73-8	92307	HMDB0004044		102175	Pos Early	['CHEBI:21891', 'CHEBI:182179']
23	229	209	1110	125971	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1619.0	NAMED	YZXBAPSDXZZRGB-DOFZRALJSA-N	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(O)=O	arachidonate (20:4n6)	arachidonate (20:4n6)				506-32-1	392692	HMDB0001043	C00219	444899	Neg	['CHEBI:137828']
24	231	400	1638	155435	Amino Acid	Urea cycle; Arginine and Proline Metabolism	493.0	NAMED	ODKSFYDXXFIFQN-UHFFFAOYSA-N	N=C(N)NCCCC(N)C(O)=O	arginine	arginine				1119-34-2	227	HMDB0000517	C00062	6322	Pos Early	['CHEBI:29016', 'CHEBI:16467']
25	234	400	443	155304	Amino Acid	Alanine and Aspartate Metabolism	36.0	NAMED	CKLJMWTZIZZHCS-UHFFFAOYSA-N	NC(C(O)=O)CC(O)=O	aspartate	aspartate				56-84-8	5745	HMDB0000191	C00049	5960	Pos Early	['CHEBI:22660', 'CHEBI:17053']
26	235	305	1432	145724	Amino Acid	Phenylalanine Metabolism	163.0	NAMED	CCVYRRGZDBSHFU-UHFFFAOYSA-N	OC(CC1=C(O)C=CC=C1)=O	2-hydroxyphenylacetate	2-hydroxyphenylacetate				614-75-5	11476	HMDB0000669	C05852	11970	Polar	['CHEBI:28478']
27	240	209	32197	123321	Amino Acid	Tyrosine Metabolism	188.0	NAMED	JVGVDSSUAVXRDY-UHFFFAOYSA-N	OC(C(O)=O)CC1=CC=C(O)C=C1	3-(4-hydroxyphenyl)lactate	3-(4-hydroxyphenyl)lactate (HPLA)				6482-98-0	9010	HMDB0000755	C03672	9378	Neg	['CHEBI:16003']
28	241	209	566	124529	Amino Acid	Phenylalanine Metabolism	157.0	NAMED	BTNMPGBKDVTSJY-UHFFFAOYSA-N	O=C(C(O)=O)CC1=CC=CC=C1	phenylpyruvate	phenylpyruvate				156-06-9	972	HMDB0000205	C00166	997	Neg	['CHEBI:30851']
29	244	400	55	155295	Nucleotide	Pyrimidine Metabolism, Uracil containing	4453.0	NAMED	UCMIRNVEIXFBKS-UHFFFAOYSA-N	NCCC(O)=O	beta-alanine	beta-alanine				107-95-9,56-41-7	234	HMDB0000056	C00099	239	Pos Early	['CHEBI:16958', 'CHEBI:16449']
30	249	400	1768	155446	Amino Acid	Histidine Metabolism	87.0	NAMED	CQOVPNPJLQNMDC-ZETCQYMHSA-N	OC([C@H](CC1=CNC=N1)NC(CCN)=O)=O	carnosine	carnosine				305-84-0	388363	HMDB0000033	C00386	439224	Pos Early	['CHEBI:15727']
31	250	402	2137	158009	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	4627.0	NAMED	QBUVFDKTZJNUPP-YBRAVLHJSA-N	CC1=C(/C=C(N2)/C(C=C)=C(C)C2=O)NC(/C=C3C(CCC(O)=O)=C(C)C(/C=C(N4)\C(C)=C(C=C)C4=O)=N\3)=C1CCC(O)=O	biliverdin	biliverdin				55482-27-4,55482-27-4	10628548	HMDB0001008	C00500	5280353	Pos Late	['CHEBI:17033']
32	252	305	1437	147106	Energy	TCA Cycle	1489.0	NAMED	KDYFGRWQOYBRFD-UHFFFAOYSA-N	OC(CCC(O)=O)=O	succinate	succinate				110-15-6	1078	HMDB0000254	C00042	1110	Polar	['CHEBI:15741']
33	254	305	542	145710	Lipid	Ketone Bodies	1984.0	NAMED	WHBMMWSBFZVSSR-UHFFFAOYSA-N	CC(O)CC(O)=O	3-hydroxybutyrate (BHBA)	3-hydroxybutyrate (BHBA)				625-72-9	428	HMDB0000442,HMDB0000357,HMDB0000011	C03197,C01089	94318,441,92135	Polar	['CHEBI:20067', 'CHEBI:17290']
34	266	402	63	164177	Lipid	Sterol	3257.0	NAMED	HVYWMOMLDIMFJA-LBHVWCRMSA-N	CC1(C2C(C)CCCC(C)C)C(CC2)C(CC=C3C4(CC[C@H](O)C3)C)C4CC1	cholesterol	cholesterol				57-88-5	4937803	HMDB0000067	C00187	5997,6432564,11025495	Pos Late	['CHEBI:138486', 'CHEBI:143742', 'CHEBI:172955']
35	267	400	34396	156099	Lipid	Phospholipid Metabolism	2279.0	NAMED	YHHSONZFOIEMCP-UHFFFAOYSA-N	C[N+](C)(CCOP(O)([O-])=O)C	choline phosphate	phosphocholine				72556-74-2	119298	HMDB0001565	C00588	1014	Pos Early	['UNII:BRP7TI555O']
36	272	209	5983	126005	Lipid	Corticosteroids	3366.0	NAMED	OMFXVFTZEKFJBZ-UHFFFAOYSA-N	CC(C(CC1)=CC2=O)(CC2)C3C1C(CCC4C(CO)=O)C4(C)CC3O	corticosterone	corticosterone				50-22-6	5550	HMDB0001547	C02140	5753	Neg	['CHEBI:16827']
37	273	209	1769	124819	Lipid	Corticosteroids	3384.0	NAMED	MFYSYFVPBJMHGN-ZPOLXVRWSA-N	O[C@@]1([C@@](CO)=O)[C@](C2)(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])C2=O	cortisone	cortisone				53-06-5	361685	HMDB0002802	C00762	222786	Neg	['CHEBI:3897']
38	275	400	513	155307	Amino Acid	Creatine Metabolism	540.0	NAMED	DDRJAANPRJIHGJ-UHFFFAOYSA-N	CN(C(N1)=N)CC1=O	creatinine	creatinine				60-27-5	568	HMDB0000562	C00791	588	Pos Early	['CHEBI:16737']
39	278	400	35637	156206	Amino Acid	Glutathione Metabolism	587.0	NAMED	ZUKPVRWZDMRIEO-UHFFFAOYSA-N	NC(C(NCC(O)=O)=O)CS	cysteinylglycine	cysteinylglycine				19246-18-5	58762	HMDB0000078	C01419	439498	Pos Early	['CHEBI:4047', 'HMDB:HMDB0257594']
40	279	400	56	155296	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	471.0	NAMED	LEVWYRKDKASIDU-UHFFFAOYSA-N	NC(C(O)=O)CSSCC(N)C(O)=O	cystine	cystine				56-89-3	575	HMDB0000192	C00491	67678	Pos Early	['CHEMBL.COMPOUND:CHEMBL366563', 'CHEBI:16283']
41	297	402	17747	158164	Lipid	Sphingosines	3224.0	NAMED	WWUZIQQURGPMPG-CCEZHUSRSA-N	CCCCCCCCCCCCC/C=C/C(C(CO)N)O	sphingosine	sphingosine				123-78-4	4510275	HMDB0000252	C00319	5280335	Pos Late	['CHEBI:194383', 'CHEBI:16393']
42	302	209	1114	125714	Lipid	Secondary Bile Acid Metabolism	3550.0	NAMED	KXGVEGMKQFWNSR-OHAQSFBXSA-N	CC12[C@@]([C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@@H]2O)([H])CC[C@]1([H])[C@]([H])(C)CCC(O)=O	deoxycholate	deoxycholate				83-44-3	389318	HMDB0000626	C04483	222528,440355	Neg	['CHEBI:28834']
43	310	400	15705	155581	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	462.0	NAMED	ILRYLPWNYFXEMH-UHFFFAOYSA-N	OC(C(CCSCC(N)C(O)=O)N)=O	cystathionine	cystathionine				535-34-2	811	HMDB0000099	C02291	439258	Pos Early	['CHEBI:165853', 'CHEBI:17482']
44	313	402	17769	158166	Lipid	Sphingolipid Synthesis	3063.0	NAMED	OTKJDMGTUTTYMP-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(C(CO)N)O	sphinganine	sphinganine				3102-56-5	3014	HMDB0000269	C00836	3126	Pos Late	['CHEBI:16566', 'CHEBI:46968']
45	330	305	1643	146876	Energy	TCA Cycle	1490.0	NAMED	VZCYOOQTPOCHFL-OWOJBTEDSA-N	OC(/C=C/C(O)=O)=O	fumarate	fumarate				100-17-8	10197150	HMDB0000134	C00122	444972	Polar	['CHEBI:18012']
46	331	400	36738	156248	Peptide	Gamma-glutamyl Amino Acid	654.0	NAMED	OWQDWQKWSLFFFR-UHFFFAOYSA-N	O=C(O)C(N)CCC(NC(C(O)=O)CCC(O)=O)=O	gamma-glutamylglutamate	gamma-glutamylglutamate				1116-22-9	83831	HMDB0011737	C05282	92865	Pos Early	['PUBCHEM.COMPOUND:558343', 'CHEBI:73705']
47	338	305	587	147098	Xenobiotics	Food Component/Plant	5023.0	NAMED	RGHNJXZEOKUKBD-SQOUGZDYSA-N	OC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O	gluconate	gluconate				527-07-1	10240	HMDB0000625	C00257	10690,3085666	Polar	['CHEBI:33198', 'CHEBI:84997', 'CHEBI:86359']
48	339	305	396	146390	Lipid	Fatty Acid, Dicarboxylate	1705.0	NAMED	JFCQEDHGNNZCLN-UHFFFAOYSA-N	OC(CCCC(O)=O)=O	glutarate (C5-DC)	glutarate (C5-DC)				110-94-1	3618533	HMDB0000661	C00489	743,4418048	Polar	['CHEBI:17859', 'CHEBI:30921']
49	340	400	58	160611	Amino Acid	Glycine, Serine and Threonine Metabolism	1.0	NAMED	DHMQDGOQFOQNFH-UHFFFAOYSA-N	NCC(O)=O	glycine	glycine				56-40-6	730	HMDB0000123	C00037	750	Pos Early	['CHEBI:15428']
50	342	209	18476	126842	Lipid	Primary Bile Acid Metabolism	3523.0	NAMED	RFDAIACWWDREDC-FRVQLJSFSA-N	O=C(CNC(CC[C@H]([C@@H]1[C@@]2(C)[C@@H](O)C[C@]3([H])[C@@]4(C)CC[C@@H](O)C[C@@]4([H])C[C@@H](O)[C@@]3([H])[C@]2([H])CC1)C)=O)O	glycocholate	glycocholate				475-31-0,863-57-0	9734	HMDB0000138	C01921	10140	Neg	['CHEBI:17687']
51	344	305	43802	147630	Amino Acid	Creatine Metabolism	538.0	NAMED	BPMFZUMJYQTVII-UHFFFAOYSA-N	NC(NCC(O)=O)=N	guanidinoacetate	guanidinoacetate				352-97-6	743	HMDB0000128	C00581	763	Polar	['CHEBI:16344']
52	355	209	59	123153	Amino Acid	Histidine Metabolism	73.0	NAMED	HNDVDQJCIGZPNO-UHFFFAOYSA-N	NC(C(O)=O)CC1=CN=CN1	histidine	histidine				5934-29-2	752	HMDB0000177	C00135	6274	Neg	['CHEBI:27947', 'CHEBI:15971']
53	356	209	1712	124815	Lipid	Corticosteroids	3374.0	NAMED	JYGXADMDTFJGBT-VWUMJDOOSA-N	O[C@@]1([C@@](CO)=O)[C@]2(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])[C@@H](O)C2	cortisol	cortisol				50-23-7		HMDB0000063	C00735	5754	Neg	['UNII:Y40T47207F']
54	358	305	590	146416	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	479.0	NAMED	VVIUBCNYACGLLV-UHFFFAOYSA-N	NCCS(O)=O	hypotaurine	hypotaurine				300-84-5	96959	HMDB0000965	C00519	107812	Polar	['CHEBI:16668']
55	361	209	1123	123191	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	4333.0	NAMED	UGQMRVRMYYASKQ-KQYNXXCUSA-N	O[C@H]1[C@H](N2C(N=CN=C3O)=C3N=C2)O[C@H](CO)[C@H]1O	inosine	inosine				58-63-9	21241953	HMDB0000195	C00294	6021	Neg	['CHEBI:17596']
56	363	305	1124	145716	Lipid	Inositol Metabolism	2247.0	NAMED	CDAISMWEOUEBRE-GPIVLXJGSA-N	O[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O	myo-inositol	myo-inositol				87-89-8	10239179	HMDB0000211	C00137	892	Polar	['CHEBI:17268']
57	376	400	1125	155350	Amino Acid	Leucine, Isoleucine and Valine Metabolism	393.0	NAMED	AGPKZVBTJJNPAG-UHFFFAOYSA-N	NC(C(O)=O)C(C)CC	isoleucine	isoleucine				73-32-5	769	HMDB0000172	C06418,C00407,C16424	6306	Pos Early	['CHEBI:27730', 'CHEBI:38264', 'CHEBI:17191', 'CHEBI:71679']
58	381	305	6146	147948	Amino Acid	Lysine Metabolism	126.0	NAMED	OYIFNHCXNCRBQI-UHFFFAOYSA-N	OC(CCCC(N)C(O)=O)=O	2-aminoadipate	2-aminoadipate				1118-90-7,542-32-5	456	HMDB0000510	C00956	92136	Polar	['CHEBI:37024']
59	391	400	2132	155460	Amino Acid	Urea cycle; Arginine and Proline Metabolism	502.0	NAMED	RHGKLRLOHDJJDR-UHFFFAOYSA-N	NC(C(O)=O)CCCNC(N)=O	citrulline	citrulline				372-75-8	810	HMDB0000904	C00327	9750	Pos Early	['CHEBI:16349', 'CHEBI:18211']
60	397	400	60	155300	Amino Acid	Leucine, Isoleucine and Valine Metabolism	340.0	NAMED	ROHFNLRQFUQHCH-YFKPBYRVSA-N	O=C([C@H](CC(C)C)N)O	leucine	leucine				61-90-5		HMDB0000687	C00123	6106	Pos Early	['CHEBI:15603']
61	405	209	1483	125730	Lipid	Secondary Bile Acid Metabolism	3565.0	NAMED	SMEROWZSTRWXGI-UHFFFAOYSA-N	O=C(CCC(C(CCC1C2CCC3CC4O)C1(CCC2C3(CC4)C)C)C)O	lithocholate	lithocholate				434-13-9	9519	HMDB0000761	C03990	9903	Neg	['CHEBI:16325']
62	407	400	1301	155354	Amino Acid	Lysine Metabolism	108.0	NAMED	KDXKERNSBIXSRK-UHFFFAOYSA-N	NC(C(O)=O)CCCCN	lysine	lysine				56-87-1	5747	HMDB0000182,HMDB0003405	C00739,C00047	5962	Pos Early	['CHEBI:16855', 'CHEBI:53633', 'CHEBI:25094']
63	409	209	1303	123199	Energy	TCA Cycle	1492.0	NAMED	BJEPYKJPYRNKOW-UHFFFAOYSA-N	OC(C(O)=O)CC(O)=O	malate	malate				6915-15-7	510	HMDB0031518,HMDB0000156,HMDB0000744	C00149,C00711,C00497	525	Neg	['CHEBI:6650', 'CHEBI:30797', 'CHEBI:30796', 'KEGG.COMPOUND:C00711']
64	415	209	1302	124789	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	443.0	NAMED	FFEARJCKVFRZRR-UHFFFAOYSA-N	CSCCC(N)C(O)=O	methionine	methionine				63-68-3	5907	HMDB0000696	C00073	6137	Neg	['CHEBI:16643']
65	418	305	1496	145730	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	1820.0	NAMED	ZIYVHBGGAOATLY-UHFFFAOYSA-N	O=C(C(C(O)=O)C)O	methylmalonate (MMA)	methylmalonate (MMA)				516-05-2	473	HMDB0000202	C02170	487	Polar	['CHEBI:30860']
66	424	209	1336	125720	Lipid	Long Chain Saturated Fatty Acid	1556.0	NAMED	IPCSVZSSVZVIGE-UHFFFAOYSA-N	OC(CCCCCCCCCCCCCCC)=O	palmitate (16:0)	palmitate (16:0)				57-10-3	960	HMDB0000220	C00249	985	Neg	['CHEBI:15756']
67	432	400	594	155332	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	4519.0	NAMED	DFPAKSUCGFBDDF-UHFFFAOYSA-N	NC(C1=CN=CC=C1)=O	nicotinamide	nicotinamide				98-92-0	911	HMDB0001406	C00153	936	Pos Early	['CHEBI:17154']
68	437	209	12035	125748	Lipid	Medium Chain Fatty Acid	1538.0	NAMED	FBUKVWPVBMHYJY-UHFFFAOYSA-N	CCCCCCCCC(O)=O	pelargonate (9:0)	pelargonate (9:0)				112-05-0	4574394	HMDB0000847	C01601	8158	Neg	['CHEBI:29019']
69	439	209	1358	125724	Lipid	Long Chain Saturated Fatty Acid	1560.0	NAMED	QIQXTHQIDYTFRH-UHFFFAOYSA-N	CCCCCCCCCCCCCCCCCC(O)=O	stearate (18:0)	stearate (18:0)				57-11-4	5091	HMDB0000827	C01530	5281	Neg	['CHEBI:9254']
70	444	400	1493	155375	Amino Acid	Urea cycle; Arginine and Proline Metabolism	497.0	NAMED	AHLPHDHHMVZTML-BYPYZUCNSA-N	O=C(O)[C@@H](N)CCCN	ornithine	ornithine				3184-13-2	6026	HMDB0000214	C00077	6262	Pos Early	['CHEBI:195690', 'CHEBI:15729']
71	445	305	1505	146440	Nucleotide	Pyrimidine Metabolism, Orotate containing	4421.0	NAMED	PXQPEWDEAKTCGB-UHFFFAOYSA-N	O=C(C1=CC(O)=NC(O)=N1)O	orotate	orotate				50887-69-9	942	HMDB0000226	C00295	967	Polar	['UNII:91532S02AO', 'CHEBI:16742']
72	452	209	33447	126083	Lipid	Long Chain Monounsaturated Fatty Acid	1575.0	NAMED	SECPZKHBENQXJG-FPLPWBNLSA-N	CCCCCC\C=C/CCCCCCCC(O)=O	palmitoleate (16:1n7)	palmitoleate (16:1n7)				373-49-9	393216	HMDB0003229	C08362	445638	Neg	['CHEBI:77522']
73	460	400	64	155301	Amino Acid	Phenylalanine Metabolism	144.0	NAMED	COLNVLDHVKWLRT-UHFFFAOYSA-N	NC(C(O)=O)CC1=CC=CC=C1	phenylalanine	phenylalanine				63-91-2	5910	HMDB0000159	C00079	6140	Pos Early	['CHEBI:16998', 'CHEBI:17295']
74	461	400	42109	156915	Energy	Oxidative Phosphorylation	1509.0	NAMED	NBIIXXVUZAFLBC-UHFFFAOYSA-N	O=P(O)(O)O	phosphate	phosphate				7664-38-2	1032	HMDB0001429	C00009	1061	Pos Early	['CHEBI:26078', 'CHEBI:18367']
75	466	209	598	143837	Xenobiotics	Food Component/Plant	5218.0	NAMED	RLCKHJSFHOZMDR-UHFFFAOYSA-N	CC(CCCC(CCCC(CCCC(C)C)C)C)CC(O)=O	phytanate	phytanate				14721-66-5	10140204	HMDB0000801	C01607	26840	Neg	['CHEBI:179704']
76	480	400	1898	155455	Amino Acid	Urea cycle; Arginine and Proline Metabolism	505.0	NAMED	ONIBWKKTOPOVIA-UHFFFAOYSA-N	OC(C1CCCN1)=O	proline	proline				147-85-3	128566	HMDB0000162,HMDB0003411	C00148,C000763	8988,145742,614	Pos Early	['CHEBI:16313', 'CHEBI:17203']
77	482	305	527	146396	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1280.0	NAMED	JVTAAEKCZFNVCJ-UHFFFAOYSA-N	CC(O)C(O)=O	lactate	lactate				79-33-4	592	HMDB0000190	C00186	612	Polar	['CHEBI:422']
78	498	402	1806	165222	Cofactors and Vitamins	Vitamin A Metabolism	4645.0	NAMED	FPIPGXGPPPQFEQ-OVSJKPMPSA-N	C/C(/C=C/C(C(C)(CCC1)C)=C1C)=C\C=C\C(C)=C\CO	retinol (vitamin A)	retinol (vitamin A)				68-26-8	393012	HMDB0000305	C00473	445354	Pos Late	['CHEBI:45479']
79	501	305	1515	164364	Xenobiotics	Drug - Topical Agents	6189.0	NAMED	YGSDEFSMJLZEOE-UHFFFAOYSA-N	OC1=C(C(O)=O)C=CC=C1	salicylate	salicylate				69-72-7	331	HMDB0001895	C00805	338	Polar	['CHEBI:9180']
80	503	400	1648	155437	Amino Acid	Glycine, Serine and Threonine Metabolism	10.0	NAMED	MTCFGRXMJLQNBG-REOHCLBHSA-N	OC([C@@H](N)CO)=O	serine	serine				56-45-1	5736	HMDB0000187	C00065	5951	Pos Early	['CHEBI:16523']
