CHEM_ID	LIB_ID	COMP_ID	CHRO_LIB_ENTRY_ID	SUPER_PATHWAY	SUB_PATHWAY	PATHWAY_SORTORDER	TYPE	INCHIKEY	SMILES	CHEMICAL_NAME	PLOT_NAME	LIPID SPECIES LEVEL	LIPID MOLECULAR SPECIES LEVEL	LIPID SN POSITION LEVEL	CAS	CHEMSPIDER	HMDB	KEGG	PUBCHEM	PLATFORM	curies_goldstandard	invalid_ids_goldstandard
171	305	3127	145750	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	4334	NAMED	FDGQSTZJBFJUBT-UHFFFAOYSA-N	O=C1C(N=CN2)=C2N=CN1	hypoxanthine	hypoxanthine				68-94-0	768	HMDB0000157	C00262	790,135,398,638	Polar	['KEGG.COMPOUND:C00262', 'PUBCHEM.COMPOUND:790', 'PUBCHEM.COMPOUND:135398638', 'HMDB:HMDB0000157', 'SMILES:O=C1C(N=CN2)=C2N=CN1', 'CAS:68-94-0', 'INCHIKEY:FDGQSTZJBFJUBT-UHFFFAOYSA-N']	{}
180	209	1105	125969	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1613	NAMED	OYHQOLUKZRVURQ-HZJYTTRNSA-N	OC(CCCCCCC/C=C\C/C=C\CCCCC)=O	linoleate (18:2n6)	linoleate (18:2n6)				60-33-3	4444105	HMDB0006270,HMDB0000673	C01595	5280450	Neg	['INCHIKEY:OYHQOLUKZRVURQ-HZJYTTRNSA-N', 'SMILES:OC(CCCCCCC/C=C\\C/C=C\\CCCCC)=O', 'HMDB:HMDB0006270', 'HMDB:HMDB0000673', 'KEGG.COMPOUND:C01595', 'CAS:60-33-3', 'PUBCHEM.COMPOUND:5280450']	{}
181	209	1645	125740	Lipid	Medium Chain Fatty Acid	1548	NAMED	POULHZVOKOAJMA-UHFFFAOYSA-N	O=C(O)CCCCCCCCCCC	laurate (12:0)	laurate (12:0)				0143-07-07	3756	HMDB0000638	C02679	3893	Neg	['INCHIKEY:POULHZVOKOAJMA-UHFFFAOYSA-N', 'HMDB:HMDB0000638', 'CAS:143-07-7', 'SMILES:O=C(O)CCCCCCCCCCC', 'PUBCHEM.COMPOUND:3893', 'KEGG.COMPOUND:C02679']	{}
182	305	1899	146452	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	4515	NAMED	GJAWHXHKYYXBSV-UHFFFAOYSA-N	OC(C(C=CC=N1)=C1C(O)=O)=O	quinolinate	quinolinate				89-00-9	1037	HMDB0000232	C03722	1066	Polar	['PUBCHEM.COMPOUND:1066', 'INCHIKEY:GJAWHXHKYYXBSV-UHFFFAOYSA-N', 'SMILES:OC(C(C=CC=N1)=C1C(O)=O)=O', 'HMDB:HMDB0000232', 'KEGG.COMPOUND:C03722', 'CAS:89-00-9']	{}
186	209	64334	237350	Amino Acid	Tryptophan Metabolism	274	NAMED	BYHJHXPTQMMKCA-UHFFFAOYSA-N	NC(C(O)=O)CC(C1=CC=CC=C1NC=O)=O	N-formylkynurenine	N-formylkynurenine				1022-31-7	886	HMDB0001200	C15605,C02406,C02700	910	Neg	['KEGG.COMPOUND:C15605', 'CAS:1022-31-7', 'PUBCHEM.COMPOUND:910', 'SMILES:NC(C(O)=O)CC(C1=CC=CC=C1NC=O)=O', 'KEGG.COMPOUND:C02700', 'INCHIKEY:BYHJHXPTQMMKCA-UHFFFAOYSA-N', 'KEGG.COMPOUND:C02406', 'HMDB:HMDB0001200']	{}
189	400	1498	155380	Amino Acid	Lysine Metabolism	119	NAMED	MXNRLFUSFKVQSK-UHFFFAOYSA-N	C[N+](C)(CCCCC(C([O-])=O)N)C	N6,N6,N6-trimethyllysine	N6,N6,N6-trimethyllysine				23284-33-5	140379	HMDB0001325	C03793	440120	Pos Early	['PUBCHEM.COMPOUND:440120', 'CAS:23284-33-5', 'HMDB:HMDB0001325', 'KEGG.COMPOUND:C03793', 'SMILES:C[N+](C)(CCCCC(C([O-])=O)N)C', 'INCHIKEY:MXNRLFUSFKVQSK-UHFFFAOYSA-N']	{}
192	400	37496	156406	Amino Acid	Polyamine Metabolism	549	NAMED	KLZGKIDSEJWEDW-UHFFFAOYSA-N	CC(NCCCCN)=O	N-acetylputrescine	N-acetylputrescine				18233-70-0	109095	HMDB0002064	C02714	122356	Pos Early	['PUBCHEM.COMPOUND:122356', 'INCHIKEY:KLZGKIDSEJWEDW-UHFFFAOYSA-N', 'SMILES:CC(NCCCCN)=O', 'HMDB:HMDB0002064', 'KEGG.COMPOUND:C02714', 'CAS:18233-70-0']	{}
194	209	2829	124831	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	446	NAMED	PYUSHNKNPOHWEZ-UHFFFAOYSA-N	CSCCC(C(O)=O)NC=O	N-formylmethionine	N-formylmethionine				4289-98-9	388809	HMDB0001015	C03145	439750	Neg	['CAS:4289-98-9', 'PUBCHEM.COMPOUND:439750', 'HMDB:HMDB0001015', 'SMILES:CSCCC(C(O)=O)NC=O', 'INCHIKEY:PYUSHNKNPOHWEZ-UHFFFAOYSA-N', 'KEGG.COMPOUND:C03145']	{}
197	209	42382	124939	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	455	NAMED	ZJUKTBDSGOFHSH-UHFFFAOYSA-N	OC1C(N2C=NC3=C2N=CN=C3N)OC(CSCCC(N)C(O)=O)C1O	S-adenosylhomocysteine (SAH)	S-adenosylhomocysteine (SAH)				979-92-0	16788012	HMDB0000939	C00021	439155	Neg	['PUBCHEM.COMPOUND:439155', 'CAS:979-92-0', 'INCHIKEY:ZJUKTBDSGOFHSH-UHFFFAOYSA-N', 'HMDB:HMDB0000939', 'KEGG.COMPOUND:C00021', 'SMILES:OC1C(N2C=NC3=C2N=CN=C3N)OC(CSCCC(N)C(O)=O)C1O']	{}
207	209	2831	123233	Nucleotide	Purine Metabolism, Adenine containing	4356	NAMED	IVOMOUWHDPKRLL-UHFFFAOYSA-N	NC1=NC=NC2=C1N=CN2C3OC(CO4)C(OP4(O)=O)C3O	adenosine 3',5'-cyclic monophosphate (cAMP)	adenosine 3',5'-cyclic monophosphate (cAMP)				60-92-4	268	HMDB0000058	C00575	6076	Neg	['PUBCHEM.COMPOUND:6076', 'CAS:60-92-4', 'INCHIKEY:IVOMOUWHDPKRLL-UHFFFAOYSA-N', 'KEGG.COMPOUND:C00575', 'SMILES:NC1=NC=NC2=C1N=CN2C3OC(CO4)C(OP4(O)=O)C3O', 'HMDB:HMDB0000058']	{}
209	400	32342	155907	Nucleotide	Purine Metabolism, Adenine containing	4353	NAMED	UDMBCSSLTHHNCD-UHFFFAOYSA-N	NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(O)=O	adenosine 5'-monophosphate (AMP)	AMP				149022-20-8	10239183	HMDB0000045	C00020	6083	Pos Early	['PUBCHEM.COMPOUND:6083', 'INCHIKEY:UDMBCSSLTHHNCD-UHFFFAOYSA-N', 'SMILES:NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(O)=O', 'KEGG.COMPOUND:C00020', 'HMDB:HMDB0000045', 'CAS:149022-20-8']	{}
212	400	1419	155365	Amino Acid	Polyamine Metabolism	567	NAMED	WUUGFSXJNOTRMR-IOSLPCCCSA-N	NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3	5-methylthioadenosine (MTA)	5-methylthioadenosine (MTA)				2457-80-9	388321	HMDB0001173	C00170	439176	Pos Early	['INCHIKEY:WUUGFSXJNOTRMR-IOSLPCCCSA-N', 'CAS:2457-80-9', 'HMDB:HMDB0001173', 'PUBCHEM.COMPOUND:439176', 'KEGG.COMPOUND:C00170', 'SMILES:NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3']	{}
213	400	37114	156329	Nucleotide	Purine Metabolism, Adenine containing	4368	NAMED	VQAYFKKCNSOZKM-UHFFFAOYSA-N	OC(C1O)C(OC1CO)N(C=N2)C3=C2C(NC)=NC=N3	N6-methyladenosine	N6-methyladenosine				1867-73-8	92307	HMDB0004044		102175	Pos Early	['HMDB:HMDB0004044', 'CAS:1867-73-8', 'INCHIKEY:VQAYFKKCNSOZKM-UHFFFAOYSA-N', 'SMILES:OC(C1O)C(OC1CO)N(C=N2)C3=C2C(NC)=NC=N3', 'PUBCHEM.COMPOUND:102175']	{}
229	209	1110	125971	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1619	NAMED	YZXBAPSDXZZRGB-DOFZRALJSA-N	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(O)=O	arachidonate (20:4n6)	arachidonate (20:4n6)				506-32-1	392692	HMDB0001043	C00219	444899	Neg	['HMDB:HMDB0001043', 'CAS:506-32-1', 'SMILES:CCCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCC(O)=O', 'PUBCHEM.COMPOUND:444899', 'INCHIKEY:YZXBAPSDXZZRGB-DOFZRALJSA-N', 'KEGG.COMPOUND:C00219']	{}
231	400	1638	155435	Amino Acid	Urea cycle; Arginine and Proline Metabolism	493	NAMED	ODKSFYDXXFIFQN-UHFFFAOYSA-N	N=C(N)NCCCC(N)C(O)=O	arginine	arginine				1119-34-2	227	HMDB0000517	C00062	6322	Pos Early	['PUBCHEM.COMPOUND:6322', 'HMDB:HMDB0000517', 'INCHIKEY:ODKSFYDXXFIFQN-UHFFFAOYSA-N', 'SMILES:N=C(N)NCCCC(N)C(O)=O', 'KEGG.COMPOUND:C00062', 'CAS:1119-34-2']	{}
234	400	443	155304	Amino Acid	Alanine and Aspartate Metabolism	36	NAMED	CKLJMWTZIZZHCS-UHFFFAOYSA-N	NC(C(O)=O)CC(O)=O	aspartate	aspartate				56-84-8	5745	HMDB0000191	C00049	5960	Pos Early	['PUBCHEM.COMPOUND:5960', 'HMDB:HMDB0000191', 'KEGG.COMPOUND:C00049', 'SMILES:NC(C(O)=O)CC(O)=O', 'CAS:56-84-8', 'INCHIKEY:CKLJMWTZIZZHCS-UHFFFAOYSA-N']	{}
235	305	1432	145724	Amino Acid	Phenylalanine Metabolism	163	NAMED	CCVYRRGZDBSHFU-UHFFFAOYSA-N	OC(CC1=C(O)C=CC=C1)=O	2-hydroxyphenylacetate	2-hydroxyphenylacetate				614-75-5	11476	HMDB0000669	C05852	11970	Polar	['KEGG.COMPOUND:C05852', 'SMILES:OC(CC1=C(O)C=CC=C1)=O', 'HMDB:HMDB0000669', 'INCHIKEY:CCVYRRGZDBSHFU-UHFFFAOYSA-N', 'CAS:614-75-5', 'PUBCHEM.COMPOUND:11970']	{}
240	209	32197	123321	Amino Acid	Tyrosine Metabolism	188	NAMED	JVGVDSSUAVXRDY-UHFFFAOYSA-N	OC(C(O)=O)CC1=CC=C(O)C=C1	3-(4-hydroxyphenyl)lactate	3-(4-hydroxyphenyl)lactate (HPLA)				6482-98-0	9010	HMDB0000755	C03672	9378	Neg	['PUBCHEM.COMPOUND:9378', 'KEGG.COMPOUND:C03672', 'SMILES:OC(C(O)=O)CC1=CC=C(O)C=C1', 'CAS:6482-98-0', 'INCHIKEY:JVGVDSSUAVXRDY-UHFFFAOYSA-N', 'HMDB:HMDB0000755']	{}
241	209	566	124529	Amino Acid	Phenylalanine Metabolism	157	NAMED	BTNMPGBKDVTSJY-UHFFFAOYSA-N	O=C(C(O)=O)CC1=CC=CC=C1	phenylpyruvate	phenylpyruvate				0156-06-09	972	HMDB0000205	C00166	997	Neg	['CAS:156-06-9', 'KEGG.COMPOUND:C00166', 'PUBCHEM.COMPOUND:997', 'INCHIKEY:BTNMPGBKDVTSJY-UHFFFAOYSA-N', 'HMDB:HMDB0000205', 'SMILES:O=C(C(O)=O)CC1=CC=CC=C1']	{}
244	400	55	155295	Nucleotide	Pyrimidine Metabolism, Uracil containing	4453	NAMED	UCMIRNVEIXFBKS-UHFFFAOYSA-N	NCCC(O)=O	beta-alanine	beta-alanine				107-95-9,56-41-7	234	HMDB0000056	C00099	239	Pos Early	['SMILES:NCCC(O)=O', 'HMDB:HMDB0000056', 'KEGG.COMPOUND:C00099', 'CAS:107-95-9', 'INCHIKEY:UCMIRNVEIXFBKS-UHFFFAOYSA-N', 'PUBCHEM.COMPOUND:239', 'CAS:56-41-7']	{}
249	400	1768	155446	Amino Acid	Histidine Metabolism	87	NAMED	CQOVPNPJLQNMDC-ZETCQYMHSA-N	OC([C@H](CC1=CNC=N1)NC(CCN)=O)=O	carnosine	carnosine				305-84-0	388363	HMDB0000033	C00386	439224	Pos Early	['CAS:305-84-0', 'INCHIKEY:CQOVPNPJLQNMDC-ZETCQYMHSA-N', 'PUBCHEM.COMPOUND:439224', 'HMDB:HMDB0000033', 'SMILES:OC([C@H](CC1=CNC=N1)NC(CCN)=O)=O', 'KEGG.COMPOUND:C00386']	{}
250	402	2137	158009	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	4627	NAMED	QBUVFDKTZJNUPP-YBRAVLHJSA-N	CC1=C(/C=C(N2)/C(C=C)=C(C)C2=O)NC(/C=C3C(CCC(O)=O)=C(C)C(/C=C(N4)\C(C)=C(C=C)C4=O)=N\3)=C1CCC(O)=O	biliverdin	biliverdin				55482-27-4,55482-27-4	10628548	HMDB0001008	C00500	5280353	Pos Late	['INCHIKEY:QBUVFDKTZJNUPP-YBRAVLHJSA-N', 'CAS:55482-27-4', 'KEGG.COMPOUND:C00500', 'SMILES:CC1=C(/C=C(N2)/C(C=C)=C(C)C2=O)NC(/C=C3C(CCC(O)=O)=C(C)C(/C=C(N4)\\C(C)=C(C=C)C4=O)=N\\3)=C1CCC(O)=O', 'PUBCHEM.COMPOUND:5280353', 'HMDB:HMDB0001008']	{}
252	305	1437	147106	Energy	TCA Cycle	1489	NAMED	KDYFGRWQOYBRFD-UHFFFAOYSA-N	OC(CCC(O)=O)=O	succinate	succinate				110-15-6	1078	HMDB0000254	C00042	1110	Polar	['CAS:110-15-6', 'HMDB:HMDB0000254', 'INCHIKEY:KDYFGRWQOYBRFD-UHFFFAOYSA-N', 'SMILES:OC(CCC(O)=O)=O', 'KEGG.COMPOUND:C00042', 'PUBCHEM.COMPOUND:1110']	{}
254	305	542	145710	Lipid	Ketone Bodies	1984	NAMED	WHBMMWSBFZVSSR-UHFFFAOYSA-N	CC(O)CC(O)=O	3-hydroxybutyrate (BHBA)	3-hydroxybutyrate (BHBA)				625-72-9	428	HMDB0000442,HMDB0000357,HMDB0000011	C03197,C01089	9,431,844,192,135	Polar	['HMDB:HMDB0000011', 'PUBCHEM.COMPOUND:94318', 'PUBCHEM.COMPOUND:92135', 'HMDB:HMDB0000357', 'CAS:625-72-9', 'SMILES:CC(O)CC(O)=O', 'INCHIKEY:WHBMMWSBFZVSSR-UHFFFAOYSA-N', 'KEGG.COMPOUND:C01089', 'PUBCHEM.COMPOUND:441', 'KEGG.COMPOUND:C03197', 'HMDB:HMDB0000442']	{}
266	402	63	164177	Lipid	Sterol	3257	NAMED	HVYWMOMLDIMFJA-LBHVWCRMSA-N	CC1(C2C(C)CCCC(C)C)C(CC2)C(CC=C3C4(CC[C@H](O)C3)C)C4CC1	cholesterol	cholesterol				57-88-5	4937803	HMDB0000067	C00187	5997,6432564,11025495	Pos Late	['SMILES:CC1(C2C(C)CCCC(C)C)C(CC2)C(CC=C3C4(CC[C@H](O)C3)C)C4CC1', 'INCHIKEY:HVYWMOMLDIMFJA-LBHVWCRMSA-N', 'CAS:57-88-5', 'HMDB:HMDB0000067', 'PUBCHEM.COMPOUND:6432564', 'KEGG.COMPOUND:C00187', 'PUBCHEM.COMPOUND:11025495', 'PUBCHEM.COMPOUND:5997']	{}
267	400	34396	156099	Lipid	Phospholipid Metabolism	2279	NAMED	YHHSONZFOIEMCP-UHFFFAOYSA-N	C[N+](C)(CCOP(O)([O-])=O)C	choline phosphate	phosphocholine				72556-74-2	119298	HMDB0001565	C00588	1014	Pos Early	['CAS:72556-74-2', 'KEGG.COMPOUND:C00588', 'SMILES:C[N+](C)(CCOP(O)([O-])=O)C', 'HMDB:HMDB0001565', 'PUBCHEM.COMPOUND:1014', 'INCHIKEY:YHHSONZFOIEMCP-UHFFFAOYSA-N']	{}
272	209	5983	126005	Lipid	Corticosteroids	3366	NAMED	OMFXVFTZEKFJBZ-UHFFFAOYSA-N	CC(C(CC1)=CC2=O)(CC2)C3C1C(CCC4C(CO)=O)C4(C)CC3O	corticosterone	corticosterone				50-22-6	5550	HMDB0001547	C02140	5753	Neg	['SMILES:CC(C(CC1)=CC2=O)(CC2)C3C1C(CCC4C(CO)=O)C4(C)CC3O', 'PUBCHEM.COMPOUND:5753', 'KEGG.COMPOUND:C02140', 'HMDB:HMDB0001547', 'CAS:50-22-6', 'INCHIKEY:OMFXVFTZEKFJBZ-UHFFFAOYSA-N']	{}
273	209	1769	124819	Lipid	Corticosteroids	3384	NAMED	MFYSYFVPBJMHGN-ZPOLXVRWSA-N	O[C@@]1([C@@](CO)=O)[C@](C2)(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])C2=O	cortisone	cortisone				53-06-5	361685	HMDB0002802	C00762	222786	Neg	['INCHIKEY:MFYSYFVPBJMHGN-ZPOLXVRWSA-N', 'CAS:53-06-5', 'SMILES:O[C@@]1([C@@](CO)=O)[C@](C2)(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])C2=O', 'KEGG.COMPOUND:C00762', 'PUBCHEM.COMPOUND:222786', 'HMDB:HMDB0002802']	{}
275	400	513	155307	Amino Acid	Creatine Metabolism	540	NAMED	DDRJAANPRJIHGJ-UHFFFAOYSA-N	CN(C(N1)=N)CC1=O	creatinine	creatinine				60-27-5	568	HMDB0000562	C00791	588	Pos Early	['INCHIKEY:DDRJAANPRJIHGJ-UHFFFAOYSA-N', 'PUBCHEM.COMPOUND:588', 'KEGG.COMPOUND:C00791', 'HMDB:HMDB0000562', 'CAS:60-27-5', 'SMILES:CN(C(N1)=N)CC1=O']	{}
278	400	35637	156206	Amino Acid	Glutathione Metabolism	587	NAMED	ZUKPVRWZDMRIEO-UHFFFAOYSA-N	NC(C(NCC(O)=O)=O)CS	cysteinylglycine	cysteinylglycine				19246-18-5	58762	HMDB0000078	C01419	439498	Pos Early	['INCHIKEY:ZUKPVRWZDMRIEO-UHFFFAOYSA-N', 'CAS:19246-18-5', 'HMDB:HMDB0000078', 'PUBCHEM.COMPOUND:439498', 'KEGG.COMPOUND:C01419', 'SMILES:NC(C(NCC(O)=O)=O)CS']	{}
279	400	56	155296	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	471	NAMED	LEVWYRKDKASIDU-UHFFFAOYSA-N	NC(C(O)=O)CSSCC(N)C(O)=O	cystine	cystine				56-89-3	575	HMDB0000192	C00491	67678	Pos Early	['KEGG.COMPOUND:C00491', 'CAS:56-89-3', 'INCHIKEY:LEVWYRKDKASIDU-UHFFFAOYSA-N', 'PUBCHEM.COMPOUND:67678', 'SMILES:NC(C(O)=O)CSSCC(N)C(O)=O', 'HMDB:HMDB0000192']	{}
297	402	17747	158164	Lipid	Sphingosines	3224	NAMED	WWUZIQQURGPMPG-CCEZHUSRSA-N	CCCCCCCCCCCCC/C=C/C(C(CO)N)O	sphingosine	sphingosine				123-78-4	4510275	HMDB0000252	C00319	5280335	Pos Late	['INCHIKEY:WWUZIQQURGPMPG-CCEZHUSRSA-N', 'HMDB:HMDB0000252', 'KEGG.COMPOUND:C00319', 'SMILES:CCCCCCCCCCCCC/C=C/C(C(CO)N)O', 'PUBCHEM.COMPOUND:5280335', 'CAS:123-78-4']	{}
302	209	1114	125714	Lipid	Secondary Bile Acid Metabolism	3550	NAMED	KXGVEGMKQFWNSR-OHAQSFBXSA-N	CC12[C@@]([C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@@H]2O)([H])CC[C@]1([H])[C@]([H])(C)CCC(O)=O	deoxycholate	deoxycholate				83-44-3	389318	HMDB0000626	C04483	222,528,440,355	Neg	['KEGG.COMPOUND:C04483', 'INCHIKEY:KXGVEGMKQFWNSR-OHAQSFBXSA-N', 'SMILES:CC12[C@@]([C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@@H]2O)([H])CC[C@]1([H])[C@]([H])(C)CCC(O)=O', 'HMDB:HMDB0000626', 'CAS:83-44-3', 'PUBCHEM.COMPOUND:440355', 'PUBCHEM.COMPOUND:222528']	{}
310	400	15705	155581	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	462	NAMED	ILRYLPWNYFXEMH-UHFFFAOYSA-N	OC(C(CCSCC(N)C(O)=O)N)=O	cystathionine	cystathionine				535-34-2	811	HMDB0000099	C02291	439258	Pos Early	['KEGG.COMPOUND:C02291', 'HMDB:HMDB0000099', 'INCHIKEY:ILRYLPWNYFXEMH-UHFFFAOYSA-N', 'SMILES:OC(C(CCSCC(N)C(O)=O)N)=O', 'CAS:535-34-2', 'PUBCHEM.COMPOUND:439258']	{}
